# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
1.258925e+01 3.101832e-02 6.047312e-04
1.237264e+01 3.086016e-02 6.047312e-04
1.215975e+01 3.081693e-02 6.047312e-04
1.195052e+01 3.076218e-02 6.047312e-04
1.174490e+01 3.077338e-02 6.047312e-04
1.154281e+01 3.074039e-02 6.047312e-04
1.134420e+01 3.071334e-02 6.047312e-04
1.114901e+01 3.080299e-02 6.047312e-04
1.095717e+01 3.089274e-02 6.047312e-04
1.076864e+01 3.085437e-02 6.047312e-04
1.058335e+01 3.099901e-02 6.047312e-04
1.040125e+01 3.110453e-02 6.047312e-04
1.022228e+01 3.116170e-02 6.047312e-04
1.004639e+01 3.127133e-02 6.047312e-04
9.873528e+00 3.139883e-02 6.047312e-04
9.703640e+00 3.158106e-02 6.047312e-04
9.536675e+00 3.176360e-02 6.047312e-04
9.372583e+00 3.192383e-02 6.047312e-04
9.211314e+00 3.206441e-02 6.047312e-04
9.052821e+00 3.228202e-02 6.047312e-04
8.897054e+00 3.244049e-02 6.047312e-04
8.743968e+00 3.258592e-02 6.047312e-04
8.593515e+00 3.272166e-02 6.047312e-04
8.445652e+00 3.281035e-02 6.047312e-04
8.300332e+00 3.289973e-02 6.047312e-04
8.157513e+00 3.292303e-02 6.047312e-04
8.017152e+00 3.296475e-02 6.047312e-04
7.879205e+00 3.312067e-02 6.047312e-04
7.743632e+00 3.315482e-02 6.047312e-04
7.610392e+00 3.290866e-02 6.047312e-04
7.479445e+00 3.304456e-02 6.047312e-04
7.350750e+00 3.306756e-02 6.047312e-04
7.224270e+00 3.298001e-02 6.047312e-04
7.099966e+00 3.278109e-02 6.047312e-04
6.977801e+00 3.253897e-02 6.047312e-04
6.857738e+00 3.242683e-02 6.047312e-04
6.739741e+00 3.229946e-02 6.047312e-04
6.623774e+00 3.226568e-02 6.047312e-04
6.509803e+00 3.242119e-02 6.047312e-04
6.397793e+00 3.239905e-02 6.047312e-04
6.287709e+00 3.228391e-02 6.047312e-04
6.179520e+00 3.225597e-02 6.047312e-04
6.073193e+00 3.227325e-02 6.047312e-04
5.968695e+00 3.217161e-02 6.047312e-04
5.865995e+00 3.225630e-02 6.047312e-04
5.765063e+00 3.208613e-02 6.047312e-04
5.665866e+00 3.208862e-02 6.047312e-04
5.568377e+00 3.210469e-02 6.047312e-04
5.472565e+00 3.205384e-02 6.047312e-04
5.378402e+00 3.196866e-02 6.047312e-04
5.285859e+00 3.184166e-02 6.047312e-04
5.194908e+00 3.175542e-02 6.047312e-04
5.105523e+00 3.173591e-02 6.047312e-04
5.017675e+00 3.163281e-02 6.047312e-04
4.931339e+00 3.148938e-02 6.047312e-04
4.846488e+00 3.141459e-02 6.047312e-04
4.763097e+00 3.132173e-02 6.047312e-04
4.681141e+00 3.128270e-02 6.047312e-04
4.600596e+00 3.144002e-02 6.047312e-04
4.521436e+00 3.183876e-02 6.047312e-04
4.443638e+00 3.222788e-02 6.047312e-04
4.367179e+00 3.234612e-02 6.047312e-04
4.292036e+00 3.235271e-02 6.047312e-04
4.218185e+00 3.187396e-02 6.047312e-04
4.145605e+00 3.153737e-02 6.047312e-04
4.074274e+00 3.164430e-02 6.047312e-04
4.004171e+00 3.181453e-02 6.047312e-04
3.935273e+00 3.194768e-02 6.047312e-04
3.867561e+00 3.208064e-02 6.047312e-04
3.801014e+00 3.223482e-02 6.047312e-04
3.735612e+00 3.240230e-02 6.047312e-04
3.671336e+00 3.261872e-02 6.047312e-04
3.608165e+00 3.281715e-02 6.047312e-04
3.546082e+00 3.297326e-02 6.047312e-04
3.485066e+00 3.298241e-02 6.047312e-04
3.425101e+00 3.300525e-02 6.047312e-04
3.366167e+00 3.311476e-02 6.047312e-04
3.308247e+00 3.307098e-02 6.047312e-04
3.251324e+00 3.301658e-02 6.047312e-04
3.195381e+00 3.308778e-02 6.047312e-04
3.140400e+00 3.303818e-02 6.047312e-04
3.086365e+00 3.277562e-02 6.047312e-04
3.033259e+00 3.231790e-02 6.047312e-04
2.981068e+00 3.190129e-02 6.047312e-04
2.929774e+00 3.178697e-02 6.047312e-04
2.879363e+00 3.162144e-02 6.047312e-04
2.829820e+00 3.166615e-02 6.047312e-04
2.781129e+00 3.161433e-02 6.047312e-04
2.733276e+00 3.169810e-02 6.047312e-04
2.686246e+00 3.180014e-02 6.047312e-04
2.640025e+00 3.181767e-02 6.047312e-04
2.594600e+00 3.197970e-02 6.047312e-04
2.549956e+00 3.201506e-02 6.047312e-04
2.506080e+00 3.214652e-02 6.047312e-04
2.462960e+00 3.228129e-02 6.047312e-04
2.420581e+00 3.238927e-02 6.047312e-04
2.378931e+00 3.256774e-02 6.047312e-04
2.337998e+00 3.259561e-02 6.047312e-04
2.297770e+00 3.247419e-02 6.047312e-04
2.258233e+00 3.243188e-02 6.047312e-04
2.219377e+00 3.230834e-02 6.047312e-04
2.181190e+00 3.194472e-02 6.047312e-04
