# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
5.000168e+01 3.037238e-02 6.071793e-04
4.999835e+01 3.051619e-02 6.071793e-04
4.999502e+01 3.085456e-02 6.071793e-04
4.999168e+01 3.075498e-02 6.071793e-04
4.998835e+01 3.056033e-02 6.071793e-04
4.998502e+01 3.053414e-02 6.071793e-04
4.998169e+01 3.028997e-02 6.071793e-04
4.997836e+01 3.007484e-02 6.071793e-04
4.997502e+01 2.993705e-02 6.071793e-04
4.997169e+01 2.997971e-02 6.071793e-04
4.996836e+01 3.047203e-02 6.071793e-04
4.996503e+01 3.085087e-02 6.071793e-04
4.996170e+01 3.074364e-02 6.071793e-04
4.995837e+01 3.035364e-02 6.071793e-04
4.995504e+01 3.015663e-02 6.071793e-04
4.995171e+01 3.013280e-02 6.071793e-04
4.994838e+01 3.075755e-02 6.071793e-04
4.994505e+01 3.095644e-02 6.071793e-04
4.994172e+01 3.105220e-02 6.071793e-04
4.993839e+01 3.219472e-02 6.071793e-04
4.993506e+01 3.286303e-02 6.071793e-04
4.993173e+01 3.173183e-02 6.071793e-04
4.992840e+01 3.038298e-02 6.071793e-04
4.992507e+01 3.115717e-02 6.071793e-04
4.992175e+01 3.124010e-02 6.071793e-04
4.991842e+01 3.119843e-02 6.071793e-04
4.991509e+01 3.112439e-02 6.071793e-04
4.991176e+01 3.092073e-02 6.071793e-04
4.990844e+01 3.092023e-02 6.071793e-04
4.990511e+01 3.089263e-02 6.071793e-04
4.990178e+01 3.030502e-02 6.071793e-04
4.989846e+01 3.144365e-02 6.071793e-04
4.989513e+01 3.207548e-02 6.071793e-04
4.989180e+01 3.187511e-02 6.071793e-04
4.988848e+01 3.132838e-02 6.071793e-04
4.988515e+01 3.099454e-02 6.071793e-04
4.988183e+01 3.076690e-02 6.071793e-04
4.987850e+01 3.012699e-02 6.071793e-04
4.987518e+01 3.006386e-02 6.071793e-04
4.987185e+01 3.015090e-02 6.071793e-04
4.986853e+01 3.058203e-02 6.071793e-04
4.986520e+01 3.219149e-02 6.071793e-04
4.986188e+01 3.227211e-02 6.071793e-04
4.985855e+01 3.123595e-02 6.071793e-04
4.985523e+01 3.051108e-02 6.071793e-04
4.985191e+01 3.022581e-02 6.071793e-04
4.984858e+01 3.023440e-02 6.071793e-04
4.984526e+01 3.022509e-02 6.071793e-04
4.984194e+01 3.001733e-02 6.071793e-04
4.983862e+01 3.044365e-02 6.071793e-04
4.983529e+01 3.110882e-02 6.071793e-04
4.983197e+01 3.160960e-02 6.071793e-04
4.982865e+01 3.146448e-02 6.071793e-04
4.982533e+01 3.266262e-02 6.071793e-04
4.982201e+01 3.295097e-02 6.071793e-04
4.981869e+01 3.291018e-02 6.071793e-04
4.981536e+01 3.213501e-02 6.071793e-04
4.981204e+01 3.025183e-02 6.071793e-04
4.980872e+01 3.002371e-02 6.071793e-04
4.980540e+01 2.998354e-02 6.071793e-04
4.980208e+01 3.085373e-02 6.071793e-04
4.979876e+01 3.090168e-02 6.071793e-04
4.979544e+01 3.068610e-02 6.071793e-04
4.979212e+01 3.077387e-02 6.071793e-04
4.978880e+01 3.078460e-02 6.071793e-04
4.978548e+01 3.075277e-02 6.071793e-04
4.978217e+01 3.048065e-02 6.071793e-04
4.977885e+01 3.054163e-02 6.071793e-04
4.977553e+01 3.036561e-02 6.071793e-04
4.977221e+01 3.014068e-02 6.071793e-04
4.976889e+01 2.995995e-02 6.071793e-04
4.976558e+01 3.066831e-02 6.071793e-04
4.976226e+01 3.056806e-02 6.071793e-04
4.975894e+01 3.031231e-02 6.071793e-04
4.975562e+01 3.000715e-02 6.071793e-04
4.975231e+01 2.988522e-02 6.071793e-04
