CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.73551,0.0034,2.13585,0.04474,-0.04427,Calculated,0.14615,0.00152,-0.00152,Sing et al. 2024,0.9529,0.0301,-0.0301,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.73891,0.0034,2.10484,0.04033,-0.03995,Calculated,0.14508,0.00138,-0.00138,Sing et al. 2024,0.9459,0.0296,-0.0296,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.74231,0.0034,2.11376,0.03694,-0.03662,Calculated,0.14539,0.00126,-0.00126,Sing et al. 2024,0.9479,0.0295,-0.0295,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.74571,0.0034,2.11499,0.03532,-0.03503,Calculated,0.14543,0.00121,-0.00121,Sing et al. 2024,0.9482,0.0294,-0.0294,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.74911,0.0034,2.14942,0.03249,-0.03225,Calculated,0.14661,0.0011,-0.0011,Sing et al. 2024,0.9559,0.0294,-0.0294,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.7525,0.0034,2.07625,0.02914,-0.02894,Calculated,0.14409,0.00101,-0.00101,Sing et al. 2024,0.9395,0.0288,-0.0288,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.7559,0.0034,2.08383,0.02937,-0.02916,Calculated,0.14435,0.00101,-0.00101,Sing et al. 2024,0.9412,0.0289,-0.0289,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.7593,0.0034,2.13497,0.025,-0.02485,Calculated,0.14612,8.5E-4,-8.5E-4,Sing et al. 2024,0.9527,0.029,-0.029,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.7627,0.0034,2.12854,0.0242,-0.02406,Calculated,0.1459,8.3E-4,-8.3E-4,Sing et al. 2024,0.9512,0.0289,-0.0289,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.7661,0.0034,2.14393,0.02468,-0.02454,Calculated,0.14642,8.4E-4,-8.4E-4,Sing et al. 2024,0.9547,0.029,-0.029,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.7695,0.0034,2.15168,0.01993,-0.01983,Calculated,0.14669,6.8E-4,-6.8E-4,Sing et al. 2024,0.9564,0.0289,-0.0289,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.7729,0.0034,2.11705,0.01973,-0.01964,Calculated,0.1455,6.8E-4,-6.8E-4,Sing et al. 2024,0.9486,0.0287,-0.0287,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.77629,0.0034,2.11979,0.0189,-0.01881,Calculated,0.14559,6.5E-4,-6.5E-4,Sing et al. 2024,0.9493,0.0286,-0.0286,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.77969,0.0034,2.13753,0.01799,-0.01791,Calculated,0.1462,6.1E-4,-6.1E-4,Sing et al. 2024,0.9532,0.0287,-0.0287,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.78309,0.0034,2.09499,0.01773,-0.01766,Calculated,0.14474,6.1E-4,-6.1E-4,Sing et al. 2024,0.9437,0.0285,-0.0285,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.78649,0.0034,2.13633,0.01735,-0.01728,Calculated,0.14616,5.9E-4,-5.9E-4,Sing et al. 2024,0.953,0.0287,-0.0287,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.78989,0.0034,2.13775,0.01669,-0.01663,Calculated,0.14621,5.7E-4,-5.7E-4,Sing et al. 2024,0.9533,0.0287,-0.0287,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.79328,0.0034,2.14068,0.0156,-0.01555,Calculated,0.14631,5.3E-4,-5.3E-4,Sing et al. 2024,0.9539,0.0287,-0.0287,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.79668,0.0034,2.12039,0.01517,-0.01512,Calculated,0.14562,5.2E-4,-5.2E-4,Sing et al. 2024,0.9494,0.0285,-0.0285,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.80008,0.0034,2.1116,0.01423,-0.01418,Calculated,0.14531,4.9E-4,-4.9E-4,Sing et al. 2024,0.9474,0.0285,-0.0285,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.80348,0.0034,2.11355,0.01444,-0.01439,Calculated,0.14538,5.0E-4,-5.0E-4,Sing et al. 2024,0.9479,0.0285,-0.0285,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.80687,0.0034,2.10372,0.01407,-0.01402,Calculated,0.14504,4.8E-4,-4.8E-4,Sing et al. 2024,0.9457,0.0284,-0.0284,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.81027,0.0034,2.09899,0.0131,-0.01306,Calculated,0.14488,4.5E-4,-4.5E-4,Sing et al. 2024,0.9446,0.0283,-0.0283,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.81367,0.0034,2.12975,0.01355,-0.01351,Calculated,0.14594,4.6E-4,-4.6E-4,Sing et al. 2024,0.9515,0.0286,-0.0286,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
2.81707,0.0034,2.10262,0.01333,-0.01329,Calculated,0.145,4.6E-4,-4.6E-4,Sing et al. 2024,0.9454,0.0284,-0.0284,Calculated,,,,0.67,0.02,-0.02,Piaulet et al. 2021
