# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
1.258925e+01 3.099144e-02 6.451274e-04
1.237264e+01 3.083591e-02 6.451274e-04
1.215975e+01 3.079903e-02 6.451274e-04
1.195052e+01 3.074509e-02 6.451274e-04
1.174490e+01 3.076121e-02 6.451274e-04
1.154281e+01 3.072859e-02 6.451274e-04
1.134420e+01 3.069879e-02 6.451274e-04
1.114901e+01 3.078956e-02 6.451274e-04
1.095717e+01 3.088336e-02 6.451274e-04
1.076864e+01 3.084384e-02 6.451274e-04
1.058335e+01 3.099083e-02 6.451274e-04
1.040125e+01 3.110226e-02 6.451274e-04
1.022228e+01 3.115689e-02 6.451274e-04
1.004639e+01 3.126680e-02 6.451274e-04
9.873528e+00 3.139935e-02 6.451274e-04
9.703640e+00 3.158532e-02 6.451274e-04
9.536675e+00 3.177645e-02 6.451274e-04
9.372583e+00 3.194654e-02 6.451274e-04
9.211314e+00 3.209670e-02 6.451274e-04
9.052821e+00 3.234247e-02 6.451274e-04
8.897054e+00 3.253030e-02 6.451274e-04
8.743968e+00 3.271372e-02 6.451274e-04
8.593515e+00 3.290140e-02 6.451274e-04
8.445652e+00 3.303512e-02 6.451274e-04
8.300332e+00 3.319405e-02 6.451274e-04
8.157513e+00 3.323532e-02 6.451274e-04
8.017152e+00 3.330687e-02 6.451274e-04
7.879205e+00 3.363289e-02 6.451274e-04
7.743632e+00 3.376854e-02 6.451274e-04
7.610392e+00 3.322641e-02 6.451274e-04
7.479445e+00 3.348002e-02 6.451274e-04
7.350750e+00 3.352475e-02 6.451274e-04
7.224270e+00 3.334542e-02 6.451274e-04
7.099966e+00 3.301530e-02 6.451274e-04
6.977801e+00 3.266786e-02 6.451274e-04
6.857738e+00 3.253681e-02 6.451274e-04
6.739741e+00 3.239086e-02 6.451274e-04
6.623774e+00 3.238069e-02 6.451274e-04
6.509803e+00 3.251794e-02 6.451274e-04
6.397793e+00 3.248028e-02 6.451274e-04
6.287709e+00 3.233870e-02 6.451274e-04
6.179520e+00 3.231304e-02 6.451274e-04
6.073193e+00 3.233375e-02 6.451274e-04
5.968695e+00 3.223382e-02 6.451274e-04
5.865995e+00 3.233365e-02 6.451274e-04
5.765063e+00 3.214717e-02 6.451274e-04
5.665866e+00 3.214505e-02 6.451274e-04
5.568377e+00 3.215877e-02 6.451274e-04
5.472565e+00 3.210721e-02 6.451274e-04
5.378402e+00 3.201160e-02 6.451274e-04
5.285859e+00 3.187012e-02 6.451274e-04
5.194908e+00 3.177619e-02 6.451274e-04
5.105523e+00 3.175651e-02 6.451274e-04
5.017675e+00 3.164244e-02 6.451274e-04
4.931339e+00 3.149451e-02 6.451274e-04
4.846488e+00 3.142036e-02 6.451274e-04
4.763097e+00 3.131982e-02 6.451274e-04
4.681141e+00 3.127231e-02 6.451274e-04
4.600596e+00 3.142279e-02 6.451274e-04
4.521436e+00 3.182812e-02 6.451274e-04
4.443638e+00 3.227339e-02 6.451274e-04
4.367179e+00 3.244708e-02 6.451274e-04
4.292036e+00 3.246461e-02 6.451274e-04
4.218185e+00 3.194294e-02 6.451274e-04
4.145605e+00 3.154150e-02 6.451274e-04
4.074274e+00 3.164962e-02 6.451274e-04
4.004171e+00 3.182697e-02 6.451274e-04
3.935273e+00 3.196690e-02 6.451274e-04
3.867561e+00 3.210995e-02 6.451274e-04
3.801014e+00 3.227796e-02 6.451274e-04
3.735612e+00 3.246994e-02 6.451274e-04
3.671336e+00 3.273745e-02 6.451274e-04
3.608165e+00 3.301588e-02 6.451274e-04
3.546082e+00 3.328973e-02 6.451274e-04
3.485066e+00 3.332732e-02 6.451274e-04
3.425101e+00 3.336943e-02 6.451274e-04
3.366167e+00 3.362918e-02 6.451274e-04
3.308247e+00 3.362808e-02 6.451274e-04
3.251324e+00 3.339619e-02 6.451274e-04
3.195381e+00 3.354737e-02 6.451274e-04
3.140400e+00 3.345878e-02 6.451274e-04
3.086365e+00 3.298283e-02 6.451274e-04
3.033259e+00 3.237945e-02 6.451274e-04
2.981068e+00 3.191960e-02 6.451274e-04
2.929774e+00 3.180909e-02 6.451274e-04
2.879363e+00 3.162594e-02 6.451274e-04
2.829820e+00 3.167507e-02 6.451274e-04
2.781129e+00 3.163248e-02 6.451274e-04
2.733276e+00 3.171533e-02 6.451274e-04
2.686246e+00 3.183055e-02 6.451274e-04
2.640025e+00 3.183618e-02 6.451274e-04
2.594600e+00 3.202214e-02 6.451274e-04
2.549956e+00 3.205460e-02 6.451274e-04
2.506080e+00 3.219205e-02 6.451274e-04
2.462960e+00 3.233387e-02 6.451274e-04
2.420581e+00 3.245623e-02 6.451274e-04
2.378931e+00 3.267450e-02 6.451274e-04
2.337998e+00 3.270622e-02 6.451274e-04
2.297770e+00 3.255527e-02 6.451274e-04
2.258233e+00 3.250738e-02 6.451274e-04
2.219377e+00 3.236362e-02 6.451274e-04
2.181190e+00 3.196500e-02 6.451274e-04
2.143659e+00 3.158194e-02 6.451274e-04
2.106775e+00 3.127669e-02 6.451274e-04
2.070525e+00 3.099979e-02 6.451274e-04
2.034898e+00 3.087013e-02 6.451274e-04
1.999885e+00 3.089128e-02 6.451274e-04
1.965474e+00 3.093713e-02 6.451274e-04
1.931655e+00 3.103110e-02 6.451274e-04
1.898419e+00 3.109868e-02 6.451274e-04
